gene	group	n_samples	pct_amp	pct_del	pct_gain	pct_loss
BRAF	Primary	0	NA	NA	NA	NA
CDKN2A	Primary	0	NA	NA	NA	NA
PTEN	Primary	0	NA	NA	NA	NA
NRAS	Primary	0	NA	NA	NA	NA
MYC	Primary	0	NA	NA	NA	NA
CCND1	Primary	0	NA	NA	NA	NA
MDM2	Primary	0	NA	NA	NA	NA
CDK4	Primary	0	NA	NA	NA	NA
MITF	Primary	0	NA	NA	NA	NA
KIT	Primary	0	NA	NA	NA	NA
BRAF	Metastatic	367	4.087193460490464	0.2724795640326975	56.94822888283378	4.632152588555858
CDKN2A	Metastatic	367	0.2724795640326975	30.517711171662125	2.452316076294278	45.23160762942779
PTEN	Metastatic	367	0	7.629427792915531	1.6348773841961852	55.858310626703
NRAS	Metastatic	367	2.997275204359673	0	22.3433242506812	20.16348773841962
MYC	Metastatic	367	4.35967302452316	0	47.68392370572207	5.722070844686648
CCND1	Metastatic	367	6.267029972752043	0.2724795640326975	12.534059945504087	28.882833787465938
MDM2	Metastatic	367	4.35967302452316	0	11.716621253405995	16.348773841961854
CDK4	Metastatic	367	3.8147138964577656	0	11.989100817438691	19.07356948228883
MITF	Metastatic	367	6.539509536784741	0	21.525885558583106	12.26158038147139
KIT	Metastatic	367	2.7247956403269753	0	14.441416893732969	19.346049046321525
