Hugo_Symbol	Primary	Metastatic	pval	or	ci.up	ci.low	adjPval
NRAS	11	114	0.0020906607420948897	0.36474968420026427	0.7296346945553822	0.16718858961884187	1
CDKN2A	4	55	0.016799223668342692	0.3074284893339425	0.8734475612882608	0.07842567969270972	1
APC	5	56	0.04475037634837133	0.3813745735955418	0.9933549014724652	0.11507516970772878	1
PREX2	11	89	0.0527720547663256	0.513794576180026	1.0358109960996225	0.23410180097915895	1
PIK3CA	1	21	0.14723857508435845	0.21474702164251483	1.377607858251264	0.005118974949750034	1
TP53	8	63	0.17156096832771553	0.5527543614179702	1.229208561665528	0.21851996574706375	1
SNX31	1	19	0.22354062358214113	0.23871890901686277	1.5485128414757068	0.005663685769610382	1
BRAF	45	188	0.31592571597980496	1.3082076433540697	2.231386712181862	0.7738686420985259	1
GNA11	1	16	0.3282773371477155	0.2859040673631344	1.895924523823953	0.006721261202821974	1
NF1	10	65	0.4035661259175362	0.6847911819142394	1.4328442328134106	0.29793395649729826	1
RAC1	3	26	0.4470296809004742	0.5261176729877082	1.7865319828456616	0.0993160290861088	1
KIT	7	23	0.45277102162769695	1.4768003254029545	3.733149038927936	0.5146634861874541	1
RASA2	4	30	0.4829383790873266	0.6088291578145048	1.805270323771724	0.1511959641288157	1
CDK4	1	14	0.4865291898760481	0.3285848174057352	2.223037601599093	0.007661542039004622	1
PTEN	9	34	0.528164631660345	1.279941963377581	2.885869799806632	0.5155788865083318	1
MDM2	0	5	0.5921256503881681	0	5.1727743587888275	0	1
MAP2K2	3	10	0.70841231486274	1.4297841018167032	5.734892440561878	0.24692862189532472	1
GNAQ	3	12	0.733390156281794	1.1852902436050603	4.543764652750728	0.20952115979252348	1
ARID2	14	59	0.7358282258007723	1.144617737450863	2.2359627025178788	0.5549292045948512	1
RB1	4	17	0.7727315849499583	1.1149700078456755	3.555742849773886	0.2651810506159656	1
CTNNB1	4	26	0.8028264242774034	0.7107280296296964	2.1386071226307006	0.1749678741472859	1
MAP2K1	5	23	0.9999999999999999	1.0265104357298052	2.8865158868892813	0.29491921293291196	1
MITF	1	8	1	0.5844865162519423	4.468646355694639	0.012993483336863992	1
PPP6C	5	25	1	0.9390495269410991	2.612752153101742	0.2715418767423608	1
